source,id,name,url
UniProt,P09619,Platelet-derived growth factor receptor beta,https://www.uniprot.org/uniprotkb/P09619
UniProt,P0C0L5,Complement C4-B,https://www.uniprot.org/uniprotkb/P0C0L5
UniProt,P10145,Interleukin-8,https://www.uniprot.org/uniprotkb/P10145
UniProt,P10155,RNA-binding protein RO60,https://www.uniprot.org/uniprotkb/P10155
UniProt,P10321,"HLA class I histocompatibility antigen, C alpha chain",https://www.uniprot.org/uniprotkb/P10321
UniProt,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",https://www.uniprot.org/uniprotkb/P10515
UniProt,P10635,Cytochrome P450 2D6,https://www.uniprot.org/uniprotkb/P10635
UniProt,P10636,Microtubule-associated protein tau,https://www.uniprot.org/uniprotkb/P10636
UniProt,P11047,Laminin subunit gamma-1,https://www.uniprot.org/uniprotkb/P11047
UniProt,P11048,Lamin-A,https://www.uniprot.org/uniprotkb/P11048
UniProt,P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",https://www.uniprot.org/uniprotkb/P11182
UniProt,P11387,DNA topoisomerase 1,https://www.uniprot.org/uniprotkb/P11387
UniProt,P11712,Cytochrome P450 2C9,https://www.uniprot.org/uniprotkb/P11712
UniProt,P12081,"Histidine--tRNA ligase, cytoplasmic",https://www.uniprot.org/uniprotkb/P12081
UniProt,P12259,Coagulation factor V,https://www.uniprot.org/uniprotkb/P12259
UniProt,P12883,Myosin-7,https://www.uniprot.org/uniprotkb/P12883
UniProt,P12956,X-ray repair cross-complementing protein 6,https://www.uniprot.org/uniprotkb/P12956
UniProt,P13473,Lysosome-associated membrane glycoprotein 2,https://www.uniprot.org/uniprotkb/P13473
UniProt,P14136,Glial fibrillary acidic protein,https://www.uniprot.org/uniprotkb/P14136
UniProt,P14416,D(2) dopamine receptor,https://www.uniprot.org/uniprotkb/P14416
UniProt,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,https://www.uniprot.org/uniprotkb/P14867
UniProt,P15924,Desmoplakin,https://www.uniprot.org/uniprotkb/P15924
UniProt,P16104,Histone H2AX,https://www.uniprot.org/uniprotkb/P16104
UniProt,P16234,Platelet-derived growth factor receptor alpha,https://www.uniprot.org/uniprotkb/P16234
UniProt,P16401,Histone H1.5,https://www.uniprot.org/uniprotkb/P16401
UniProt,P16473,Thyrotropin receptor,https://www.uniprot.org/uniprotkb/P16473
